date,pool_name,daily_apy,volume_in_usd,token1,token1_tvl_in_usd,token2,token2_tvl_in_usd,token3,token3_tvl_in_usd,token4,token4_tvl_in_usd,total_tvl_in_usd
2022-02-14,compound,0.020717814838048687,0,cDAI,0.3296343645732322,cUSDC,6675717098.174884,,0,,0,6675717098.5045185
2022-02-14,y,0.015379179586346714,0,yDAI,1130896939.1851377,yUSDC,5265798.238381305,yUSDT,3899946.1293722927,yTUSD,9297054.655428482,1149359738.20832
2022-02-14,busd,0.015918970977279567,0,yDAI,722179284.4816139,yUSDC,3785686.6073504216,yUSDT,3276232.8092333837,yBUSD,5070626.547509638,734311830.4457074
2022-02-14,susd,0.0026764923250601758,4540504.459386091,DAI,36998719.97225617,USDC,37974293.349458,USDT,34912470.73933,SUSD,28783467.16156897,138668951.22261313
2022-02-14,pax,0.002139881079620043,530.4924027807914,ycDAI,1097542.676992325,ycUSDC,1127954.892356,ycUSDT,1077806.892145,PAX,1407918.8181762944,4711223.279669619
2022-02-14,hbtc,0.0003876425504378833,35.69220288231027,hBTC,150068231.4365092,wBTC,131545234.34989728,,0,,0,281613465.78640646
2022-02-14,3pool,0.0008053358439392699,4755594.375562718,DAI,1644315824.3553786,USDC,1677168910.10852,USDT,836922445.633975,,0,4158407180.0978737
2022-02-14,gusd,0.0005480988567621026,61520.489021836416,GUSD,17349059.27,3CRV,19313284.382538147,,0,,0,36662343.65253815
2022-02-14,husd,0.0004329685046231546,0,HUSD,924426.8447169885,3CRV,1073648.145855237,,0,,0,1998074.9905722255
2022-02-14,usdn,0.0014824536713418102,665437.3199685062,USDN,167732149.84532723,3CRV,103598300.96531984,,0,,0,271330450.8106471
2022-02-14,usdk,0.00020952540524699081,0,USDK,462553.16908668034,3CRV,161202.92173139253,,0,,0,623756.0908180729
2022-02-14,linkusd,0.00042910145336239047,0,LINKUSD,17325.489391256175,3CRV,19838.36044034502,,0,,0,37163.8498316012
2022-02-14,musd,0.0004296424251228892,10473.492777369735,MUSD,36071020.85765033,3CRV,38914574.15105355,,0,,0,74985595.00870389
2022-02-14,rsv,0.00017829454421436353,0,RSV,223027.77636707376,3CRV,62743.849666027774,,0,,0,285771.6260331015
2022-02-14,dusd,0.00016554942862656574,0,DUSD,1357041.2992672834,3CRV,369745.24275025044,,0,,0,1726786.542017534
2022-02-14,bbtc,0.0008410729068617506,44.25846171,bBTC,47952772.10724976,sbtcCRV,855.5206076923996,,0,,0,47953627.627857454
2022-02-14,ust,0.010093680923684234,3315077.4349059667,UST,11897278.09960857,3CRV,12327509.073503338,,0,,0,24224787.17311191
2022-02-14,eurs,0.0004178258958595915,0,EURS,14511974.907,sEUR,36036267.25618192,,0,,0,50548242.163181916
2022-02-14,seth,0.0008469391836034568,343.71907531617654,ETH,63256039.68750718,sETH,46903880.87559414,,0,,0,110159920.56310132
2022-02-14,aave,0.020231666936413095,0,aDAI,15819819.581568312,aUSDC,17339471.31933255,aUSDT,9136777.499441,,0,42296068.40034186
2022-02-14,steth,0.024269791958068554,11832.939327997381,ETH,1706532241.871824,stETH,1734410044.98275,,0,,0,3440942286.854574
2022-02-14,saave,0.019075036309933235,0,aDAI,22591411.848388296,aSUSD,17407468.673217468,,0,,0,39998880.52160576
2022-02-14,link,0.00013516765246590623,10.855314771135541,LINK,8816815.308903662,sLINK,4877299.712728618,,0,,0,13694115.02163228
2022-02-14,usdp,0.0007498784513306767,689.7612670644073,USDP,28371891.6708396,3CRV,31260287.221178807,,0,,0,59632178.89201841
2022-02-14,tusd,0.00034801472228296326,0,TUSD,46679934.717761025,3CRV,35509450.68037763,,0,,0,82189385.39813866
2022-02-14,frax,0.00047381216320840913,1852338.7459640985,FRAX,1565519922.398474,3CRV,1515284289.8720593,,0,,0,3080804212.2705336
2022-02-14,lusd,0.0039718928277023835,5294495.787945533,LUSD,1577243524.9648712,3CRV,1515284289.8720593,,0,,0,3092527814.8369303
2022-02-14,mim,0.0021216851810674786,29871243.636349324,MIM,1005670201.038601,3CRV,206705321.7003231,,0,,0,1212375522.738924
