date,pool_name,daily_apy,weekly_apy,monthly_apy,total_apy,volume_in_usd,token1,token1_tvl_in_usd,token2,token2_tvl_in_usd,token3,token3_tvl_in_usd,token4,token4_tvl_in_usd,total_tvl_in_usd
2022-01-26,compound,0.02554162891177514,0.02885871170268084,0.029606671676822627,0.05055717974927254,0,cDAI,0.430282699360455,cUSDC,6777689346.298058,,0,,0,6777689346.72834
2022-01-26,usdt,0.01674880030807535,0.021636504817347912,0.02443356219214765,0.04969433387296873,0,,0,,0,,0,,0,0
2022-01-26,y,0.02112481240474051,0.021519226175348072,0.05265395381787452,0.06712728242709187,2288457.198669,yDAI,1235406030.4557447,yUSDC,4689603.145441,yUSDT,7656625.149052,yTUSD,8848663.902704867,1256600922.6529427
2022-01-26,busd,0.02502512474826779,0.01920715182337074,0.022334926576883074,0.0659795620081205,965063.2253115089,yDAI,700589690.3318495,yUSDC,3797254.229962,yUSDT,4162929.870008,yBUSD,4763762.461723058,713313636.8935425
2022-01-26,susd,0.019185326661645075,0.013017911851859854,0.009590657071866016,0.026914364588673134,7746517.970842061,DAI,30929469.604948733,USDC,30829083.0823,USDT,30872940.714835,SUSD,26393393.505012657,119024886.9070964
2022-01-26,pax,0.0023733487481176763,0.0050330424874780455,0.0068390876500064035,0.021680791304936164,6451.122738875222,,0,,0,,0,,0,0
2022-01-26,ren2,0.012525536284722527,0.0037632002921095253,0.0013161896691178399,0.01095924935813275,27.209386375,,0,,0,,0,,0,0
2022-01-26,rens,0.004777763931121282,0.00617385685938876,0.002681839253184659,0.006331423504759126,4.96615948,,0,,0,,0,,0,0
2022-01-26,hbtc,0.0216722925328241,0.0034898721794622833,0.0012611071931560858,0.005334013506812951,94.61714768913768,hBTC,116641932.1285216,wBTC,109006945.92142494,,0,,0,225648878.04994655
2022-01-26,3pool,0.0034523883125852084,0.0037039690891278454,0.0023606169980803227,0.014448323808314179,28001411.00130994,DAI,1682544241.7185578,USDC,1835373742.796828,USDT,1941056506.162824,,0,5458974490.678209
2022-01-26,gusd,0.00516797639876998,0.005977338348290839,0.011836917464860708,0.017532651892359974,1279534.21888,GUSD,23338797.2288418,3CRV,28156060.197405983,,0,,0,51494857.42624778
2022-01-26,husd,0.0036933230391351657,0.004160994002075702,0.003247452811125928,0.011491303043969836,0,,0,,0,,0,,0,0
2022-01-26,usdn,0.008074534063828631,0.027129901783879973,0.01954025628996159,0.03720997973783913,2782032.5767821753,USDN,230030206.46900827,3CRV,83398065.82092503,,0,,0,313428272.2899333
2022-01-26,usdk,0.001539975181873876,0.004184603948897081,0.003331488079562739,0.6511141455893197,0,USDK,860226.4573118634,3CRV,693091.3222961437,,0,,0,1553317.779608007
2022-01-26,linkusd,0.0018382015276130481,0.0019720149772644024,0.0012571699556038762,0.007918645890564013,0,LINKUSD,17274.6815044783,3CRV,19838.36044034502,,0,,0,37113.041944823315
2022-01-26,musd,0.002670911886200722,0.001972409513613105,0.0017455051006065592,0.012146762691486401,25689.756168334283,MUSD,39557856.463556126,3CRV,37687058.3327649,,0,,0,77244914.79632103
2022-01-26,rsv,0.000805029179897776,0.0008635898562356914,0.003828934157476427,0.021740963715761286,0,RSV,225490.98631961265,3CRV,67295.61629638606,,0,,0,292786.6026159987
2022-01-26,tbtc,0.0036333470676424007,0.004940647830945277,0.002423929889965315,0.003243919346852975,0,,0,,0,,0,,0,0
2022-01-26,dusd,0.0011695587637257088,0.0019140821410967845,0.0016816568124666809,0.011105273469452115,0,DUSD,1285876.5118488246,3CRV,692353.5013350245,,0,,0,1978230.013183849
2022-01-26,pbtc,0.001665258968533312,0.0023034879742660497,0.003067572141496777,0.005258861528848469,0,,0,,0,,0,,0,0
2022-01-26,bbtc,0.010039124647477804,0.00681032679246929,0.0028815441299729905,0.007698907438655311,47.193206769999996,bBTC,41908297.54386466,sbtcCRV,927.8817918874017,,0,,0,41909225.42565655
2022-01-26,obtc,0.004953851028175027,0.005994490520051743,0.0035088937471556836,0.004401910310013024,39.34637680037608,,0,,0,,0,,0,0
2022-01-26,ust,0.05883040896706415,0.07827912846818053,0.047005371540550955,0.03434784898659338,25157608.411909662,UST,30315689.626512688,3CRV,35458860.91551164,,0,,0,65774550.54202433
2022-01-26,eurs,0.001887619835846177,0.003053578803863477,0.0017014542816291556,0.002828876016020221,448871.62407008477,EURS,14016672.4257,sEUR,43880449.29015328,,0,,0,57897121.71585328
2022-01-26,seth,0.07416711009828636,0.014107593492288961,0.004494513894317986,0.005969379284414211,7297.217213581397,ETH,37566285.74247797,sETH,38182677.943174,,0,,0,75748963.68565196
2022-01-26,aave,0.023886215653690757,0.02637958812686092,0.030524715043959372,0.07571468252093339,0,aDAI,14021899.664938986,aUSDC,14717373.899457,aUSDT,14567520.773087,,0,43306794.33748299
2022-01-26,idle,0.02167065671910451,0.025174825588238692,0.02889472215346789,0.058402628169634374,0,,0,,0,,0,,0,0
2022-01-26,steth,0.025349741732850983,0.025748722981679073,0.026305264407824547,0.030847708042721633,11305.87860554112,ETH,1425992928.8356225,stETH,1456592783.1097052,,0,,0,2882585711.9453278
2022-01-26,saave,0.026628770155661563,0.02601243721951607,0.02361555073043231,0.05567005093088251,0,aDAI,24247448.743517566,aSUSD,21087760.558806248,,0,,0,45335209.30232382
2022-01-26,ankreth,0.025252795657143334,0.027018211051199836,0.04916735787440207,0.036010641553433365,0,,0,,0,,0,,0,0
2022-01-26,ib,0.004147038452182894,0.004955726504817903,0.006452556650917263,0.03969523625834959,0,,0,,0,,0,,0,0
