date,pool_name,daily_apy,volume_in_usd,token1,token1_tvl_in_usd,token2,token2_tvl_in_usd,token3,token3_tvl_in_usd,token4,token4_tvl_in_usd,total_tvl_in_usd
2022-02-10,Curve.fi Factory USD Metapool: PWRD Metapool,0,0,PWRD,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory Plain Pool: Wanna Avoid Tether?,0,0,sUSD,0.0,UST,0.0,MIM,0.0,,0,0.0
2022-02-10,Curve.fi Factory Pool: alETH,0.04328654227601092,48.98617778710229,ETH,239703680.72828516,alETH,205359338.00161925,,0,,0,445063018.7299044
2022-02-10,Curve.fi Factory USD Metapool: 17PctCryptoDiversifiedDollar,0,0,crv3crypto,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory USD Metapool: 17PctCryptoDiversifiedDollar,0,0,crv3crypto,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory BTC Metapool: tbtc2,0.13339467212423184,0,tBTC,36795.306516890014,crvRenWSBTC,109336.01518471533,,0,,0,146131.32170160534
2022-02-10,Curve.fi Factory USD Metapool: kusd-3pool,0,0,CHEESE,0.0,3Crv,0.0,,0,,0,0.0
2022-02-10,Curve.fi Factory USD Metapool: tusd-3pool,0.1076070846924626,0,kUSD,6.0,3Crv,6.0060349964972755,,0,,0,12.006034996497275
2022-02-10,Curve.fi Factory USD Metapool: PWRD Metapool,0.32451329659748396,0,PWRD,9801634.757733975,3Crv,4882692.588123793,,0,,0,14684327.345857767
2022-02-10,Curve.fi Factory USD Metapool: fUSD-3pool,0.11432368032198159,0,fUSD,3724613.68628436,3Crv,4227527.344543084,,0,,0,7952141.030827444
2022-02-10,Curve.fi Factory USD Metapool: Test Pool D,0.16577200488501198,0,wCOINBASE-IOU,0.10074532915609023,3Crv,0.005004901305934419,,0,,0,0.10575023046202466
2022-02-10,Curve.fi Factory USD Metapool: DEI,0.10727262542884475,0,DEI,51897.35028315593,3Crv,50584.193493368824,,0,,0,102481.54377652475
2022-02-10,Curve.fi Factory Plain Pool: MIM-UST,0.6373061262777258,10258078.335479511,MIM,93813893.14322476,UST,35134358.95554757,,0,,0,128948252.09877233
