fork,block,timestamp,supply,staked,index,market_price,length,number,end_block,distribute
time,3775251,1630620040,30000.606234124,7.507381608,4.547419269,100,28800,69,1630620000,0.0
time,3804051,1630674348,31534.534723484,22449.184990621,4.547419269,100,28800,70,1630648800,90.001818702
time,3832851,1630737724,32934.560324479,23327.711677214,4.624070731,100,28800,74,1630764000,98.508156503
time,3861651,1630801803,33150.787895366,24207.932234989,4.662392128,100,28800,76,1630821600,99.154898989
time,3890451,1630873838,35253.487129379,26136.474424764,4.700349307,100,28800,78,1630879200,99.750720777
time,3919251,1630930275,35649.025490243,26745.402591849,4.737332945,100,28800,80,1630936800,106.077742772
time,3948051,1630989507,36051.107397066,27608.939249604,4.77447714,100,28800,82,1630994400,107.829832693
time,3976851,1631036631,36504.71715593,28711.756797419,4.810799951,100,28800,84,1631052000,109.183391567
time,4005651,1631089358,37492.564406121,29560.199988782,4.853207443,100,28800,86,1631109600,149.174385981
time,4034451,1631143343,38255.290994891,30259.943711892,4.902014713,100,28800,88,1631167200,152.256669198
time,4063251,1631195903,38534.274333516,30685.103495333,4.92653013,100,28800,89,1631196000,153.024136899
time,4092051,1631249931,39320.03716107,31493.441435415,4.975892529,100,28800,91,1631253600,155.259160746
time,4120851,1631294128,40154.462176174,32016.388701064,5.025231653,100,28800,93,1631311200,159.977456336
time,4149651,1631338879,40884.498948566,32741.941323725,5.050073909,100,28800,94,1631340000,161.541284016
time,4178451,1631387820,41548.359621833,33147.966555034,5.100084824,100,28800,96,1631397600,164.675243457
time,4207251,1631428590,41929.505975043,33704.723071707,5.150702238,100,28800,98,1631455200,167.041504687
time,4236051,1631477009,42515.28167203,33747.411133056,5.176231625,100,28800,99,1631484000,168.342953901
time,4264851,1631524222,43059.985943328,34232.045410945,5.228382548,100,28800,101,1631541600,171.553728857
time,4293651,1631571186,43895.194837836,34800.415552033,5.280638082,100,28800,103,1631599200,174.881173918
time,4322451,1631626150,44354.43630783,35304.740057184,5.307053294,100,28800,104,1631628000,176.510385074
time,4351251,1631678106,45100.907534174,35657.158203193,5.360282406,100,28800,106,1631685600,179.260843927
time,4380051,1631730103,45951.730063798,36279.706965661,5.414309136,100,28800,108,1631743200,183.03815747
time,4408851,1631781840,46835.869204519,36721.028394021,5.469044806,100,28800,110,1631800800,186.317891102
time,4437651,1631829455,47908.315391675,37074.118313837,5.496704482,100,28800,111,1631829600,188.976357746
time,4466451,1631883722,48399.43187516,37457.261335221,5.553047102,100,28800,113,1631887200,192.666175817
time,4495251,1631937508,49514.783720041,38157.571387065,5.609967473,100,28800,115,1631944800,195.425752559
time,4524051,1631989753,51080.578335546,39038.432929963,5.667653229,100,28800,117,1632002400,201.139992219
time,4552851,1632047972,52409.275595807,39384.409999298,5.726555328,100,28800,119,1632060000,208.608195929
time,4581651,1632101571,53253.329360382,39994.34253948,5.786972122,100,28800,121,1632117600,211.688188556
time,4610451,1632149587,53906.047057282,40709.256960323,5.848132416,100,28800,123,1632175200,214.653135285
time,4639251,1632199176,54394.898373887,40937.843859406,5.878843241,100,28800,124,1632204000,216.386612237
time,4668051,1632253282,55660.55499373,41652.554215829,5.940698036,100,28800,126,1632261600,220.901184659
time,4696851,1632305646,56725.978003263,42597.661602302,6.003428134,100,28800,128,1632319200,224.928389873
time,4725651,1632360726,57806.102652772,43302.568851067,6.066918175,100,28800,130,1632376800,230.083763042
time,4754451,1632421608,59221.42966578,44131.613940915,6.131128342,100,28800,132,1632434400,235.479029059
time,4783251,1632481330,60114.865211276,44574.642252929,6.196819158,100,28800,134,1632492000,239.120023831
time,4812051,1632540833,61510.73252087,44969.431539276,6.26325346,100,28800,136,1632549600,244.147428628
time,4840851,1632601221,62538.148613252,46094.358209745,6.33097362,100,28800,138,1632607200,247.73475793
time,4869651,1632661843,63670.916413148,46555.138150885,6.39938835,100,28800,140,1632664800,252.886575447
time,4898451,1632721656,64633.555620462,47320.398907494,6.468895572,100,28800,142,1632722400,256.719621483
time,4927251,1632781248,66005.369339808,48068.330754398,6.57470014,100,28800,145,1632808800,262.91023441
time,4956051,1632840916,67187.68265398,48786.681802566,6.646584266,100,28800,147,1632866400,267.587953546
time,4984851,1632900975,68549.831547295,49708.757314599,6.719077953,100,28800,149,1632924000,272.84066649
time,5013651,1632960484,69840.002081842,50478.805988403,6.792720042,100,28800,151,1632981600,278.125346081
time,5042451,1633020225,72184.165977378,52320.454974382,6.866622865,100,28800,153,1633039200,284.644057653
time,5071251,1633079447,73767.952551319,53621.385361661,6.941248508,100,28800,155,1633096800,293.561056135
time,5100051,1633138285,75681.913766395,54738.675501164,7.017044742,100,28800,157,1633154400,300.544042504
time,5128851,1633197667,77623.450105352,55838.741287857,7.093985193,100,28800,159,1633212000,307.252384562
time,5157651,1633257126,78974.665595586,56692.84054133,7.172165323,100,28800,161,1633269600,313.304672732
time,5186451,1633316067,80885.427587526,57826.967492516,7.251188737,100,28800,163,1633327200,319.996366192
time,5215251,1633375092,82560.648276524,59023.640644738,7.331202365,100,28800,165,1633384800,328.004922147
time,5244051,1633434853,84415.369150779,60561.661915732,7.412100213,100,28800,167,1633442400,333.977283577
time,5272851,1633493642,86106.271038026,61731.931589975,7.493981642,100,28800,169,1633500000,341.439624082
time,5301651,1633551950,88134.885440342,62765.273906901,7.576838468,100,28800,171,1633557600,349.535275514
time,5330451,1633610346,89525.010063832,63796.963281827,7.661063172,100,28800,173,1633615200,356.000682272
time,5359251,1633668774,91739.95140499,64826.873100219,7.746425938,100,28800,175,1633672800,362.173963749
time,5388051,1633727490,94165.142972796,66631.562039175,7.832872341,100,28800,177,1633730400,371.611879354
time,5416851,1633786122,96311.247176632,68010.170855489,7.920444428,100,28800,179,1633788000,381.273518368
time,5445651,1633844782,98709.266619503,69506.309503565,8.009257641,100,28800,181,1633845600,391.18900213
time,5474451,1633903370,101205.65759978,71268.441066504,8.145089693,100,28800,184,1633932000,403.209791234
time,5503251,1633961802,103806.475371573,72625.897299284,8.237195933,100,28800,186,1633989600,413.500400375
time,5532051,1634021382,106419.007067948,74278.755190897,8.330525763,100,28800,188,1634047200,423.391057791
time,5560851,1634081710,107599.708361499,75343.196547701,8.425534325,100,28800,190,1634104800,428.66408424
time,5589651,1634140900,110116.531390099,76774.841481893,8.520997672,100,28800,192,1634162400,437.138109301
time,5618451,1634200317,112009.793309447,78180.189054913,8.617871054,100,28800,194,1634220000,446.154180595
time,5647251,1634260423,113355.132924799,78955.569357302,8.716248522,100,28800,196,1634277600,451.14728854
time,5676051,1634320674,115155.598123603,80049.836454226,8.81649327,100,28800,198,1634335200,457.697415633
time,5704851,1634380899,117561.782645407,81714.294606205,8.916934894,100,28800,200,1634392800,466.187141886
time,5733651,1634440774,119703.478506471,83005.505803471,9.018768351,100,28800,202,1634450400,476.158002429
time,5762451,1634500927,121952.631726549,84004.42260028,9.122209001,100,28800,204,1634508000,484.750269846
time,5791251,1634561422,123730.125319729,85052.460758183,9.227331094,100,28800,206,1634565600,492.461111742
time,5820051,1634621270,126346.732929303,86812.070172699,9.333995101,100,28800,208,1634623200,499.298481645
time,5848851,1634681220,129254.105416424,88557.592327546,9.496364122,100,28800,211,1634709600,514.956595284
time,5877651,1634740302,132430.035030071,90302.823492192,9.606506629,100,28800,213,1634767200,527.008952097
time,5906451,1634798981,134772.564375805,91803.76979389,9.718508903,100,28800,215,1634824800,536.605224068
time,5935251,1634857388,137088.467557469,93220.12492067,9.832080039,100,28800,217,1634882400,545.865941738
time,5964051,1634915623,139506.664962901,94469.400873151,9.947213981,100,28800,219,1634940000,555.098777931
time,5992851,1634973807,142244.910902205,96369.44294395,10.064145566,100,28800,221,1634997600,566.268831027
time,6021651,1635032154,146128.734301974,98117.227241019,10.182207632,100,28800,223,1635055200,582.00522058
time,6050451,1635090475,148311.709383271,99652.087601317,10.302685227,100,28800,225,1635112800,590.668498481
time,6079251,1635148822,151063.894247529,101517.510505156,10.42437662,100,28800,227,1635170400,600.962424609
time,6108051,1635207221,154146.453931198,103160.614992056,10.547857661,100,28800,229,1635228000,613.494873753
time,6136851,1635265431,156990.764151402,104839.841822447,10.673117895,100,28800,231,1635285600,624.229140315
time,6165651,1635323718,159755.798777694,106405.54217649,10.799987736,100,28800,233,1635343200,635.165181168
time,6194451,1635382009,162335.964714124,108056.241327174,10.928868838,100,28800,235,1635400800,646.028335397
time,6223251,1635440416,165487.593702382,109779.526488636,11.059245641,100,28800,237,1635458400,658.02248866
time,6252051,1635498813,168316.125897205,112209.387254248,11.190844449,100,28800,239,1635516000,669.320922959
time,6280851,1635557158,170725.589402418,113374.728099301,11.324752883,100,28800,241,1635573600,678.953062777
